Unnamed: 0,title,year,kind,genre,rating,vote,country,language,cast,director,composer,writer,runtime
5994,Shadow Rise 94,2014,movie,Drama,4.4,69938,UK,German,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Steven Spielberg,John Williams,Aaron Sorkin,152
5995,The Last Journey 90,2015,movie,Drama,4.2,21538,UK,Hindi,"John Smith, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Raju Murugan,94
5996,Broken Paths 498,2010,movie,Comedy,7.4,20175,India,Spanish,"Emma Watson, John Smith, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,169
5997,Golden Dreams 166,2004,movie,Romance,7.8,75722,India,Spanish,"John Smith, Emma Watson, Chris Evans",Rajkumar Hirani,John Williams,Raju Murugan,70
5998,Broken Paths 472,1992,movie,Action,5.1,44946,UK,Spanish,"John Smith, Chris Evans, Scarlett Johansson",Rajkumar Hirani,John Williams,Quentin Tarantino,121
5999,Silent Night 117,1982,tv series,Comedy,6.0,14527,UK,Hindi,"Chris Evans, John Smith, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,153
6000,Silent Night 72,2006,movie,Thriller,7.6,9664,Australia,Hindi,"Chris Evans, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,John Williams,Aaron Sorkin,92
6001,Golden Dreams 341,1995,movie,Action,5.7,39526,UK,German,"Amitabh Bachchan, Chris Evans, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,63
6002,Golden Dreams 133,1992,movie,Action,3.4,45971,UK,Spanish,"Emma Watson, Amitabh Bachchan, Chris Evans",Christopher Nolan,Hans Zimmer,Raju Murugan,95
6003,Silent Night 428,2015,movie,Comedy,4.8,2701,Australia,Hindi,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Christopher Nolan,A R Rahman,Aaron Sorkin,128
6004,The Last Journey 470,2008,tv series,Action,5.4,92914,UK,English,"John Smith, Scarlett Johansson, Chris Evans",Christopher Nolan,John Williams,Quentin Tarantino,88
6005,Golden Dreams 310,2022,movie,Action,5.3,7783,USA,Spanish,"Amitabh Bachchan, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,126
6006,Silent Night 77,2003,movie,Drama,4.6,40260,USA,Hindi,"Chris Evans, Emma Watson, John Smith",James Cameron,A R Rahman,Aaron Sorkin,71
6007,Shadow Rise 406,1991,movie,Action,5.0,88472,UK,German,"Amitabh Bachchan, John Smith, Emma Watson",James Cameron,John Williams,Raju Murugan,178
6008,The Last Journey 365,1985,tv series,Action,7.0,38285,UK,French,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",Christopher Nolan,A R Rahman,Aaron Sorkin,138
6009,Shadow Rise 386,1999,movie,Comedy,1.1,56655,Canada,German,"Chris Evans, John Smith, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,180
6010,Shadow Rise 392,2004,tv series,Thriller,7.5,49879,UK,English,"Emma Watson, Chris Evans, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,106
6011,Broken Paths 351,1989,tv series,Action,5.9,50169,USA,Hindi,"Emma Watson, Scarlett Johansson, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,147
6012,Golden Dreams 172,2003,tv series,Action,2.8,44617,India,French,"John Smith, Chris Evans, Scarlett Johansson",James Cameron,Hans Zimmer,Raju Murugan,94
6013,Broken Paths 77,2000,movie,Comedy,1.7,62502,UK,French,"Amitabh Bachchan, Emma Watson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Raju Murugan,105
6014,The Last Journey 474,1991,tv series,Drama,7.6,22844,USA,Hindi,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,178
6015,Silent Night 336,2009,movie,Drama,5.3,43657,India,Spanish,"Chris Evans, Scarlett Johansson, John Smith",Christopher Nolan,John Williams,Aaron Sorkin,64
6016,Silent Night 271,1980,tv series,Drama,5.1,80904,USA,Hindi,"Emma Watson, Amitabh Bachchan, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,108
6017,Broken Paths 400,2014,tv series,Action,3.8,90088,UK,French,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,A R Rahman,Raju Murugan,171
6018,Golden Dreams 382,2008,movie,Comedy,5.5,44430,USA,English,"Scarlett Johansson, John Smith, Amitabh Bachchan",Christopher Nolan,John Williams,Aaron Sorkin,167
6019,Broken Paths 350,1999,movie,Action,5.7,44983,UK,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Aaron Sorkin,137
6020,Shadow Rise 347,1993,movie,Action,5.5,90695,Australia,French,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,John Williams,Aaron Sorkin,67
6021,Shadow Rise 353,1989,movie,Comedy,1.3,94953,India,Spanish,"Emma Watson, Scarlett Johansson, Chris Evans",Steven Spielberg,A R Rahman,Aaron Sorkin,142
6022,The Last Journey 282,1995,tv series,Romance,9.2,58730,Canada,French,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,John Williams,Raju Murugan,148
6023,The Last Journey 240,1983,tv series,Drama,6.0,88450,India,Spanish,"John Smith, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,John Williams,Quentin Tarantino,86
6024,The Last Journey 151,2004,movie,Comedy,2.9,73440,Canada,French,"Emma Watson, Amitabh Bachchan, Chris Evans",Steven Spielberg,Hans Zimmer,Aaron Sorkin,80
6025,Broken Paths 277,2004,tv series,Thriller,4.0,74424,UK,Spanish,"Emma Watson, Scarlett Johansson, John Smith",Rajkumar Hirani,John Williams,Raju Murugan,179
6026,Shadow Rise 118,2009,movie,Drama,4.1,59690,Canada,French,"Amitabh Bachchan, Emma Watson, John Smith",Christopher Nolan,Hans Zimmer,Quentin Tarantino,116
6027,Silent Night 351,2008,movie,Thriller,8.1,31037,USA,Spanish,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,87
6028,Golden Dreams 285,2022,tv series,Action,5.4,882,Canada,French,"Emma Watson, John Smith, Chris Evans",Christopher Nolan,John Williams,Quentin Tarantino,148
6029,Silent Night 429,2003,tv series,Comedy,9.8,27539,USA,French,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",James Cameron,A R Rahman,Aaron Sorkin,111
6030,Silent Night 299,2020,movie,Action,2.1,6603,Canada,Spanish,"Chris Evans, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Aaron Sorkin,161
6031,Broken Paths 126,1995,tv series,Drama,4.6,60538,Australia,Hindi,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,100
6032,Broken Paths 130,1999,tv series,Action,2.4,15807,USA,English,"John Smith, Emma Watson, Chris Evans",Christopher Nolan,A R Rahman,Aaron Sorkin,169
6033,Shadow Rise 82,1992,movie,Action,2.3,56361,UK,German,"Chris Evans, John Smith, Amitabh Bachchan",James Cameron,A R Rahman,Quentin Tarantino,90
6034,Broken Paths 465,2024,movie,Action,3.2,42549,USA,French,"Emma Watson, John Smith, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Raju Murugan,156
6035,Shadow Rise 52,1997,tv series,Comedy,3.7,98090,India,Hindi,"Amitabh Bachchan, Scarlett Johansson, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,124
6036,Broken Paths 451,1985,tv series,Action,6.5,75519,India,French,"Emma Watson, Amitabh Bachchan, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,180
6037,Silent Night 193,2023,movie,Thriller,4.9,58978,Australia,Hindi,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,78
6038,Shadow Rise 242,1994,tv series,Comedy,2.6,1437,Canada,English,"John Smith, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Aaron Sorkin,148
6039,Broken Paths 50,1999,tv series,Romance,2.9,26772,India,French,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,A R Rahman,Aaron Sorkin,69
6040,Golden Dreams 24,1998,movie,Action,6.6,45549,India,French,"Amitabh Bachchan, Chris Evans, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,111
6041,Golden Dreams 106,2019,movie,Drama,9.8,9875,India,German,"Amitabh Bachchan, Scarlett Johansson, John Smith",James Cameron,John Williams,Raju Murugan,112
6042,Silent Night 207,2023,tv series,Drama,1.0,79725,UK,Spanish,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",James Cameron,John Williams,Raju Murugan,107
6043,Golden Dreams 414,2024,tv series,Comedy,5.9,32399,Australia,French,"Emma Watson, Chris Evans, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Quentin Tarantino,83
6044,Shadow Rise 86,1983,movie,Comedy,6.5,43182,UK,Spanish,"Emma Watson, Amitabh Bachchan, Chris Evans",Steven Spielberg,A R Rahman,Aaron Sorkin,174
6045,Golden Dreams 293,2015,movie,Thriller,6.8,61596,UK,Hindi,"John Smith, Emma Watson, Scarlett Johansson",Christopher Nolan,John Williams,Raju Murugan,115
6046,Shadow Rise 68,2020,tv series,Drama,4.4,4991,India,English,"Emma Watson, Scarlett Johansson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,92
6047,The Last Journey 86,2017,movie,Drama,3.9,81808,USA,Spanish,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",James Cameron,A R Rahman,Aaron Sorkin,63
6048,Broken Paths 128,2004,movie,Comedy,7.9,90692,UK,German,"Scarlett Johansson, Emma Watson, Chris Evans",Rajkumar Hirani,A R Rahman,Quentin Tarantino,175
6049,The Last Journey 209,1982,tv series,Comedy,8.2,95964,USA,French,"John Smith, Emma Watson, Chris Evans",Rajkumar Hirani,John Williams,Quentin Tarantino,62
6050,Shadow Rise 293,1997,tv series,Thriller,2.6,1926,USA,Spanish,"Chris Evans, Amitabh Bachchan, Emma Watson",Christopher Nolan,Hans Zimmer,Raju Murugan,159
6051,Silent Night 132,1992,movie,Romance,6.4,1584,Australia,French,"John Smith, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,147
6052,Shadow Rise 350,2019,movie,Romance,2.6,15565,India,French,"Chris Evans, Amitabh Bachchan, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,161
6053,Shadow Rise 379,1987,movie,Comedy,3.4,32252,UK,German,"Emma Watson, Amitabh Bachchan, Chris Evans",James Cameron,Hans Zimmer,Aaron Sorkin,169
6054,Shadow Rise 329,1991,tv series,Romance,8.4,16754,UK,English,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",James Cameron,Hans Zimmer,Aaron Sorkin,87
6055,The Last Journey 473,1986,movie,Romance,2.1,53778,Australia,German,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Quentin Tarantino,84
6056,Shadow Rise 451,2023,movie,Comedy,2.4,46472,UK,Hindi,"Emma Watson, Chris Evans, John Smith",Rajkumar Hirani,John Williams,Aaron Sorkin,125
6057,Silent Night 388,1999,movie,Thriller,5.4,38086,India,Hindi,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,A R Rahman,Quentin Tarantino,63
6058,Golden Dreams 111,2024,tv series,Comedy,5.1,25907,USA,Hindi,"Amitabh Bachchan, John Smith, Chris Evans",Christopher Nolan,John Williams,Quentin Tarantino,168
6059,Golden Dreams 308,2014,tv series,Comedy,1.5,5156,UK,English,"John Smith, Chris Evans, Amitabh Bachchan",Christopher Nolan,John Williams,Quentin Tarantino,111
6060,Broken Paths 488,2010,tv series,Thriller,7.2,11944,Australia,Spanish,"Emma Watson, Scarlett Johansson, Chris Evans",Christopher Nolan,John Williams,Raju Murugan,70
6061,Broken Paths 234,2017,tv series,Comedy,6.1,60789,India,German,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",James Cameron,A R Rahman,Quentin Tarantino,172
6062,Broken Paths 314,2022,movie,Comedy,4.9,57927,USA,French,"Scarlett Johansson, John Smith, Emma Watson",Rajkumar Hirani,John Williams,Aaron Sorkin,137
6063,Shadow Rise 45,2007,tv series,Thriller,3.0,63652,Canada,German,"Chris Evans, Emma Watson, John Smith",Steven Spielberg,A R Rahman,Quentin Tarantino,77
6064,Golden Dreams 201,2005,tv series,Drama,2.8,9787,Canada,French,"John Smith, Emma Watson, Chris Evans",James Cameron,A R Rahman,Raju Murugan,93
6065,The Last Journey 340,1992,movie,Drama,2.2,22997,USA,French,"John Smith, Scarlett Johansson, Emma Watson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,104
6066,Shadow Rise 14,1995,tv series,Thriller,9.2,97795,Canada,German,"Chris Evans, John Smith, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Raju Murugan,144
6067,The Last Journey 219,1993,tv series,Romance,4.5,45345,UK,German,"John Smith, Emma Watson, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,143
6068,The Last Journey 261,2000,tv series,Thriller,4.7,96957,USA,Hindi,"Amitabh Bachchan, Chris Evans, Emma Watson",James Cameron,John Williams,Aaron Sorkin,126
6069,Shadow Rise 333,2001,tv series,Comedy,4.3,45527,India,French,"Amitabh Bachchan, John Smith, Scarlett Johansson",James Cameron,Hans Zimmer,Quentin Tarantino,65
6070,Shadow Rise 487,1988,tv series,Action,9.3,13790,Canada,Hindi,"Scarlett Johansson, Amitabh Bachchan, John Smith",Christopher Nolan,A R Rahman,Aaron Sorkin,133
6071,The Last Journey 45,1984,tv series,Thriller,4.9,64916,USA,Spanish,"John Smith, Emma Watson, Chris Evans",James Cameron,A R Rahman,Raju Murugan,66
6072,Broken Paths 243,1991,tv series,Romance,7.2,25096,India,German,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,87
6073,Golden Dreams 270,1989,movie,Romance,6.5,78895,UK,French,"Scarlett Johansson, John Smith, Emma Watson",Steven Spielberg,John Williams,Quentin Tarantino,62
6074,Shadow Rise 404,1991,tv series,Thriller,1.3,84696,Canada,French,"Scarlett Johansson, Emma Watson, John Smith",James Cameron,A R Rahman,Quentin Tarantino,180
6075,Silent Night 472,1996,movie,Comedy,4.4,7652,Australia,English,"John Smith, Amitabh Bachchan, Chris Evans",Steven Spielberg,Hans Zimmer,Quentin Tarantino,82
6076,Shadow Rise 448,2025,movie,Comedy,6.4,35683,UK,Hindi,"Chris Evans, Emma Watson, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,171
6077,Shadow Rise 316,1986,tv series,Comedy,7.6,43432,Australia,English,"John Smith, Emma Watson, Chris Evans",Steven Spielberg,John Williams,Raju Murugan,77
6078,Shadow Rise 378,1980,tv series,Thriller,8.7,78822,USA,Hindi,"Emma Watson, Chris Evans, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,175
6079,Shadow Rise 133,2000,tv series,Comedy,2.8,71282,Canada,German,"Emma Watson, Amitabh Bachchan, John Smith",Steven Spielberg,Hans Zimmer,Aaron Sorkin,69
6080,Golden Dreams 249,2023,tv series,Drama,7.8,67818,Australia,German,"Scarlett Johansson, Amitabh Bachchan, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,173
6081,Silent Night 307,2000,tv series,Action,9.4,13921,Australia,English,"Emma Watson, John Smith, Chris Evans",James Cameron,A R Rahman,Aaron Sorkin,86
6082,The Last Journey 35,1989,tv series,Thriller,6.9,92702,USA,German,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",James Cameron,John Williams,Quentin Tarantino,136
6083,Shadow Rise 171,1984,tv series,Action,9.8,19339,Australia,Hindi,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",James Cameron,Hans Zimmer,Raju Murugan,120
6084,Broken Paths 451,2019,tv series,Thriller,4.5,32867,Canada,English,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",James Cameron,A R Rahman,Raju Murugan,91
6085,Silent Night 147,1999,tv series,Drama,7.4,84365,Australia,French,"Scarlett Johansson, Amitabh Bachchan, John Smith",Steven Spielberg,John Williams,Raju Murugan,133
6086,Shadow Rise 299,1995,tv series,Action,8.0,94314,India,French,"Scarlett Johansson, Amitabh Bachchan, John Smith",Rajkumar Hirani,Hans Zimmer,Raju Murugan,61
6087,Golden Dreams 487,1993,tv series,Thriller,2.3,20232,Canada,Spanish,"Scarlett Johansson, John Smith, Amitabh Bachchan",Steven Spielberg,John Williams,Quentin Tarantino,64
6088,The Last Journey 177,2016,movie,Thriller,9.2,97570,Canada,German,"Chris Evans, Scarlett Johansson, Emma Watson",Christopher Nolan,John Williams,Aaron Sorkin,138
6089,Golden Dreams 175,2013,tv series,Drama,5.1,81678,Australia,English,"Scarlett Johansson, Chris Evans, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,158
6090,Shadow Rise 131,1991,tv series,Comedy,7.6,92438,USA,German,"Scarlett Johansson, Chris Evans, Amitabh Bachchan",James Cameron,Hans Zimmer,Raju Murugan,102
6091,Shadow Rise 245,2011,tv series,Romance,6.2,78463,USA,French,"Amitabh Bachchan, Emma Watson, Chris Evans",Christopher Nolan,A R Rahman,Raju Murugan,129
6092,Broken Paths 155,1995,movie,Drama,9.0,70745,Australia,Hindi,"John Smith, Emma Watson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,134
6093,Broken Paths 191,2015,tv series,Drama,8.5,32980,Canada,German,"John Smith, Chris Evans, Emma Watson",James Cameron,A R Rahman,Raju Murugan,174
6094,The Last Journey 297,1997,tv series,Thriller,3.0,52963,UK,Spanish,"Emma Watson, Scarlett Johansson, John Smith",James Cameron,John Williams,Aaron Sorkin,96
6095,Golden Dreams 266,2024,movie,Romance,8.6,60140,UK,German,"Emma Watson, John Smith, Scarlett Johansson",Christopher Nolan,John Williams,Quentin Tarantino,108
6096,Silent Night 407,1992,tv series,Action,6.2,49058,Canada,German,"Scarlett Johansson, John Smith, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Raju Murugan,154
6097,Golden Dreams 162,2007,movie,Comedy,3.7,47116,Australia,English,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Steven Spielberg,A R Rahman,Quentin Tarantino,168
6098,Golden Dreams 166,1984,tv series,Comedy,7.1,17543,India,Hindi,"Emma Watson, Scarlett Johansson, John Smith",James Cameron,Hans Zimmer,Aaron Sorkin,120
6099,Silent Night 195,2010,movie,Thriller,6.2,16892,UK,German,"Chris Evans, Amitabh Bachchan, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,116
6100,Golden Dreams 189,1981,movie,Action,1.4,79863,USA,German,"Scarlett Johansson, Amitabh Bachchan, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,163
6101,Silent Night 383,1983,tv series,Thriller,5.1,33280,Australia,Spanish,"Chris Evans, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Raju Murugan,79
6102,The Last Journey 402,2019,movie,Action,5.1,23824,Australia,German,"Scarlett Johansson, John Smith, Emma Watson",James Cameron,Hans Zimmer,Quentin Tarantino,165
6103,Shadow Rise 185,2020,tv series,Romance,6.1,47591,Australia,Spanish,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Aaron Sorkin,81
6104,Broken Paths 273,1986,tv series,Drama,2.8,48813,Canada,French,"John Smith, Chris Evans, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,125
6105,Shadow Rise 70,1988,tv series,Action,9.0,98856,Australia,French,"Emma Watson, Amitabh Bachchan, John Smith",Rajkumar Hirani,John Williams,Quentin Tarantino,65
6106,Shadow Rise 29,1983,movie,Action,3.8,61727,Canada,Spanish,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,John Williams,Raju Murugan,125
6107,Silent Night 54,1987,tv series,Thriller,2.5,94824,Canada,Hindi,"Scarlett Johansson, John Smith, Chris Evans",Steven Spielberg,Hans Zimmer,Aaron Sorkin,157
6108,Shadow Rise 391,1987,tv series,Action,9.4,57111,Canada,English,"Scarlett Johansson, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Quentin Tarantino,147
6109,Broken Paths 427,1992,tv series,Drama,8.0,66812,USA,German,"John Smith, Chris Evans, Scarlett Johansson",Rajkumar Hirani,John Williams,Aaron Sorkin,143
6110,The Last Journey 187,2011,movie,Comedy,7.4,75085,Canada,French,"Amitabh Bachchan, Emma Watson, Chris Evans",James Cameron,John Williams,Raju Murugan,90
6111,Broken Paths 178,2002,movie,Action,5.6,11553,India,German,"Scarlett Johansson, John Smith, Emma Watson",James Cameron,A R Rahman,Aaron Sorkin,109
6112,Broken Paths 161,2005,movie,Drama,1.8,44545,Canada,German,"Scarlett Johansson, John Smith, Chris Evans",Steven Spielberg,John Williams,Quentin Tarantino,172
6113,Shadow Rise 186,1997,tv series,Comedy,2.4,38823,USA,German,"Amitabh Bachchan, Chris Evans, John Smith",James Cameron,A R Rahman,Raju Murugan,85
6114,Shadow Rise 9,1986,movie,Action,9.4,9052,USA,English,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,166
6115,Broken Paths 65,2004,movie,Comedy,8.8,75569,India,Spanish,"Amitabh Bachchan, John Smith, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,169
6116,The Last Journey 99,1985,tv series,Thriller,1.0,61042,India,German,"Amitabh Bachchan, John Smith, Emma Watson",Steven Spielberg,John Williams,Aaron Sorkin,81
6117,Shadow Rise 155,1989,tv series,Action,2.7,3671,Australia,Spanish,"Emma Watson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,John Williams,Raju Murugan,114
6118,Shadow Rise 365,2022,tv series,Romance,5.9,18180,Canada,German,"John Smith, Amitabh Bachchan, Emma Watson",Steven Spielberg,A R Rahman,Aaron Sorkin,69
6119,Broken Paths 118,1997,tv series,Comedy,2.4,82809,Australia,English,"Scarlett Johansson, John Smith, Emma Watson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,164
6120,Golden Dreams 310,2015,tv series,Comedy,3.4,70938,USA,English,"Emma Watson, Chris Evans, Scarlett Johansson",James Cameron,Hans Zimmer,Quentin Tarantino,136
6121,Golden Dreams 354,1981,tv series,Action,8.1,51671,Canada,Spanish,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Steven Spielberg,John Williams,Quentin Tarantino,118
6122,The Last Journey 371,2011,movie,Action,5.3,47578,Australia,Spanish,"Chris Evans, Emma Watson, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,106
6123,The Last Journey 383,1999,tv series,Comedy,9.4,76957,USA,German,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,John Williams,Aaron Sorkin,137
6124,Broken Paths 169,2024,tv series,Thriller,8.6,3194,UK,French,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Aaron Sorkin,179
6125,Broken Paths 416,1987,tv series,Romance,1.9,8476,Canada,German,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",James Cameron,Hans Zimmer,Quentin Tarantino,129
6126,Broken Paths 422,1991,tv series,Thriller,4.5,90196,Australia,English,"Scarlett Johansson, Amitabh Bachchan, John Smith",James Cameron,John Williams,Quentin Tarantino,105
6127,Shadow Rise 220,2000,movie,Thriller,3.1,6255,Canada,Spanish,"Scarlett Johansson, John Smith, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,110
6128,Broken Paths 65,1997,movie,Action,4.3,20105,UK,Spanish,"Emma Watson, Amitabh Bachchan, Chris Evans",Steven Spielberg,Hans Zimmer,Quentin Tarantino,142
6129,Silent Night 67,2025,tv series,Romance,3.0,17973,Australia,Hindi,"Amitabh Bachchan, Emma Watson, Chris Evans",James Cameron,Hans Zimmer,Quentin Tarantino,66
6130,Silent Night 363,1995,movie,Thriller,5.7,35111,UK,English,"Amitabh Bachchan, Scarlett Johansson, John Smith",Rajkumar Hirani,John Williams,Quentin Tarantino,160
6131,Golden Dreams 418,1996,tv series,Thriller,6.1,76033,USA,German,"Chris Evans, Scarlett Johansson, John Smith",Steven Spielberg,John Williams,Quentin Tarantino,125
6132,Silent Night 404,2020,movie,Romance,3.0,3838,UK,Hindi,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,64
6133,The Last Journey 431,1990,tv series,Comedy,4.7,37692,UK,Hindi,"Emma Watson, John Smith, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,60
6134,Silent Night 159,2006,tv series,Action,9.4,44132,USA,Hindi,"John Smith, Chris Evans, Scarlett Johansson",Rajkumar Hirani,John Williams,Quentin Tarantino,71
6135,Silent Night 407,2025,movie,Comedy,9.9,950,UK,English,"Amitabh Bachchan, Chris Evans, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,166
6136,The Last Journey 350,1989,movie,Romance,4.5,8786,Australia,English,"Chris Evans, Scarlett Johansson, Emma Watson",Rajkumar Hirani,A R Rahman,Aaron Sorkin,70
6137,The Last Journey 394,2024,movie,Drama,7.0,1299,India,Hindi,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Christopher Nolan,A R Rahman,Aaron Sorkin,137
6138,Shadow Rise 97,1986,movie,Comedy,8.2,62164,Canada,French,"Scarlett Johansson, Emma Watson, John Smith",Christopher Nolan,John Williams,Raju Murugan,89
6139,Shadow Rise 491,1982,tv series,Comedy,8.6,6258,USA,English,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,153
6140,Silent Night 393,2002,tv series,Drama,6.0,87671,Canada,English,"Chris Evans, Amitabh Bachchan, John Smith",Rajkumar Hirani,John Williams,Aaron Sorkin,112
6141,The Last Journey 346,1990,movie,Thriller,2.4,35616,India,German,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Christopher Nolan,John Williams,Raju Murugan,71
6142,The Last Journey 335,2006,movie,Action,9.5,14006,UK,English,"John Smith, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Raju Murugan,128
6143,Broken Paths 238,2021,movie,Romance,7.1,92169,Canada,Hindi,"Emma Watson, Scarlett Johansson, Chris Evans",Christopher Nolan,Hans Zimmer,Raju Murugan,154
6144,Shadow Rise 238,2013,movie,Action,4.1,28783,Canada,Hindi,"Chris Evans, Emma Watson, John Smith",James Cameron,A R Rahman,Aaron Sorkin,178
6145,Golden Dreams 328,2022,tv series,Romance,9.5,85270,UK,English,"John Smith, Amitabh Bachchan, Emma Watson",Christopher Nolan,A R Rahman,Raju Murugan,66
6146,Golden Dreams 362,1994,movie,Romance,1.7,69905,USA,Hindi,"John Smith, Amitabh Bachchan, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,142
6147,Golden Dreams 183,2019,movie,Thriller,5.6,59511,UK,German,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,76
6148,The Last Journey 166,1986,tv series,Comedy,7.4,71372,India,French,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,Hans Zimmer,Quentin Tarantino,139
6149,Golden Dreams 50,1994,movie,Thriller,9.3,57035,Australia,Hindi,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,A R Rahman,Raju Murugan,152
6150,The Last Journey 217,1999,movie,Comedy,7.8,65171,UK,German,"John Smith, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Raju Murugan,131
6151,Golden Dreams 30,2023,movie,Comedy,8.3,6306,Australia,German,"Chris Evans, Emma Watson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,134
